,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,awardee,tender_count,avg_comp,award_val
0,2018-2019,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['Kamal Kumar Modi'],1.0,-1.0,15005960.0
1,2018-2019,Public Works Building and NH Department,AOC,Works,['Dhananjoy Talukdar'],1.0,-1.0,52207339.0
2,2018-2019,Public Works Building and NH Department,AOC,Works,['Elite Agency'],1.0,-1.0,57307660.0
3,2018-2019,Public Works Building and NH Department,AOC,Works,['Puberun Real Estate Pvt. Ltd.'],1.0,-1.0,97000000.0
4,2018-2019,Public Works Building and NH Department,AOC,Works,['Sri Birkhang Boro'],1.0,-1.0,57121489.0
5,2018-2019,Public Works Roads Department,AOC,Works,['DIPANKAR SAIKIA'],1.0,-1.0,49320007.0
6,2018-2019,Public Works Roads Department,AOC,Works,['Miah'],1.0,-1.0,8097062.0
7,2018-2019,Public Works Roads Department,AOC,Works,['Sri Diganta Borthakur'],1.0,-1.0,53864000.0
8,2018-2019,Public Works Roads Department,AOC,Works,['Tej Karan Jain'],1.0,-1.0,60823697.0
9,2018-2019,Urban Development Department,AOC,Works,['MS MANAB JYOTI GOGOI AND CO.'],1.0,-1.0,97991317.62
10,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,['E N PROJECT AND ENGINEERING INDUSTRIES (P) LIMITED'],1.0,3.0,16795914.98
11,2019-2020,Bodoland Territorial Council,AOC,Goods,['chakrasing Muchahary'],4.0,2.75,7440.0
12,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['Kamal Kumar Modi'],1.0,0.0,15005960.0
13,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,['BIPUL MEDHI'],1.0,-1.0,8728200.0
14,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['Fayzal Hoque'],2.0,4.0,14250000.0
15,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['INTAZ ALI'],3.0,0.0,21750000.0
16,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['KALPANA CONSTRUCTION'],2.0,-0.5,14250000.0
17,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S MAA AYNA CONSTRUCTION'],1.0,1.0,18750000.0
18,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S PHENIX SOLUTIONS'],2.0,-0.5,14250000.0
19,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S STAR INDIA'],2.0,-0.5,14551500.0
20,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['Sri Krishna Prasad Sing'],2.0,0.5,14250000.0
21,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['T J Biswajit Mahengia'],2.0,2.0,14250000.0
22,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['abu bakkar siddique'],1.0,0.0,7500000.0
23,2019-2020,Public Works Building and NH Department,AOC,Works,['Dhananjoy Talukdar'],1.0,1.0,52207339.0
24,2019-2020,Public Works Building and NH Department,AOC,Works,['Dhruba Jyoti Saikia'],1.0,4.0,27779516.0
25,2019-2020,Public Works Building and NH Department,AOC,Works,['Elite Agency'],1.0,1.0,57307660.0
26,2019-2020,Public Works Building and NH Department,AOC,Works,['MANOJ TALUKDAR'],2.0,0.0,182980000.0
27,2019-2020,Public Works Building and NH Department,AOC,Works,['Puberun Real Estate Pvt. Ltd.'],3.0,0.3333333333333333,294769994.0
28,2019-2020,Public Works Building and NH Department,AOC,Works,['Sri Birkhang Boro'],1.0,2.0,57121489.0
29,2019-2020,Public Works Roads Department,AOC,Works,['DIPANKAR SAIKIA'],1.0,0.0,49320007.0
30,2019-2020,Public Works Roads Department,AOC,Works,['Miah'],1.0,1.0,8097062.0
31,2019-2020,Public Works Roads Department,AOC,Works,['Sri Diganta Borthakur'],1.0,3.0,53864000.0
32,2019-2020,Public Works Roads Department,AOC,Works,['Tej Karan Jain'],1.0,0.0,60823697.0
33,2019-2020,Urban Development Department,AOC,Works,['MS MANAB JYOTI GOGOI AND CO.'],1.0,2.0,97991317.62
34,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,['KULDEEP BORA'],2.0,0.0,282842000.0
35,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,['E N PROJECT AND ENGINEERING INDUSTRIES (P) LIMITED'],1.0,-1.0,16795914.98
36,2020-2021,Assam Inland Water Transport Development Society,AOC,Services,['HaskoningDHV Consulting Private Limited'],1.0,-1.0,33202688.4
37,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,['Das Consultancy And Agency Services'],1.0,-1.0,28939653.98
38,2020-2021,Assam Power Generation Company Limited,AOC,Works,['VIKRAM SOLAR LIMITED'],1.0,-1.0,0.0
39,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,['CtrlS Datacenters limited'],2.0,1.0,70772166.0
40,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,['Andritz Hydro Private Limited'],2.0,5.5,6134469780.0
41,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,['Bakul Chandra Brahma'],1.0,-1.0,6145870.0
42,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,['BIPUL MEDHI'],1.0,3.0,8728200.0
43,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,['M/S B.M.ENTERPRISE'],1.0,-1.0,4528083.05
44,2020-2021,Guwahati Municipal Corporation,AOC,Works,['Assam Electricals'],2.0,6.0,30960000.0
45,2020-2021,Guwahati Municipal Corporation,AOC,Works,['Bhabani Performer'],4.0,5.0,36540000.0
46,2020-2021,Health and Family Welfare Department,AOC,Goods,['Boston Ivy Healthcare Solutions Pvt Ltd'],2.0,2.0,2020008.0
47,2020-2021,Health and Family Welfare Department,AOC,Services,['ANUPAM KAKATI'],1.0,-1.0,2.49
48,2020-2021,Industries and Commerce Department,AOC,Goods,['SICK India Private Limited'],1.0,-1.0,15123800.4
49,2020-2021,Industries and Commerce Department,AOC,Goods,['Tirupati Industrial Stores'],2.0,0.0,21092051.6
50,2020-2021,National Health Mission,AOC,Services,['Piramal Swasthya Management and Research Institute'],1.0,-1.0,422975017.16
51,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,['Amar Jyoti Bhattacharjye'],1.0,3.0,6555959.29
52,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,['Individual'],1.0,-1.0,8665516.79
53,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['INTAZ ALI'],1.0,5.0,7500000.0
54,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S MAA AYNA CONSTRUCTION'],1.0,3.0,18750000.0
55,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['abu bakkar siddique'],1.0,-1.0,7500000.0
56,2020-2021,Public Works Building and NH Department,AOC,Works,['Bikash Enterprises'],2.0,4.0,437719210.0
57,2020-2021,Public Works Building and NH Department,AOC,Works,['Dhruba Jyoti Saikia'],1.0,2.0,27779516.0
58,2020-2021,Public Works Building and NH Department,AOC,Works,['atw india pvt ltd'],1.0,-1.0,247633812.0
59,2020-2021,Public Works Roads Department,AOC,Works,['ABUL FAZAL ABDULLAH'],2.0,5.0,29879333.26
60,2020-2021,Public Works Roads Department,AOC,Works,['Abdul Monnaf Mondal'],2.0,1.0,22786336.0
61,2020-2021,Public Works Roads Department,AOC,Works,['Arup Kr Nath'],2.0,5.0,16520254.0
62,2020-2021,Public Works Roads Department,AOC,Works,['Ashok Kr Agarwala'],1.0,3.0,30396900.0
63,2020-2021,Public Works Roads Department,AOC,Works,['BASANTA'],1.0,-1.0,5905890.39
64,2020-2021,Public Works Roads Department,AOC,Works,['Dipa Basumatary'],1.0,-1.0,5332875.3
65,2020-2021,Public Works Roads Department,AOC,Works,['Hafizur Rahman'],1.0,-1.0,13152812.95
66,2020-2021,Public Works Roads Department,AOC,Works,['Innus Ali'],2.0,1.5,18986820.6
67,2020-2021,Public Works Roads Department,AOC,Works,['JAYANTI CONTRACTORS AND ENGINEERS LTD.'],2.0,-0.5,39787028.0
68,2020-2021,Public Works Roads Department,AOC,Works,['KORBAN ALI'],2.0,1.5,9226530.68
69,2020-2021,Public Works Roads Department,AOC,Works,['M/S Archangel Group'],2.0,0.0,59940000.0
70,2020-2021,Public Works Roads Department,AOC,Works,['MS Trishul Associates'],1.0,3.0,99987206.0
71,2020-2021,Public Works Roads Department,AOC,Works,['Mrighen Mohan'],1.0,-1.0,7038538.6
72,2020-2021,Public Works Roads Department,AOC,Works,['NEWTECH GROUP OF CONSTRUCTION'],2.0,4.5,15000500.96
73,2020-2021,Public Works Roads Department,AOC,Works,['Panna Deb'],1.0,-1.0,18898850.0
74,2020-2021,Public Works Roads Department,AOC,Works,['Prasenjeet Nath'],2.0,3.5,9225613.1
75,2020-2021,Public Works Roads Department,AOC,Works,['RAMESH KUMAR JAJODIA'],1.0,-1.0,9499941.15
76,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['ARYA ENTERPRISE'],3.0,1.0,27961766.0
77,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Bijay Pegu'],1.0,-1.0,9731187.3
78,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Bipul Basumatary'],1.0,-1.0,10372751.51
79,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['CHAKRADHAR BARO'],1.0,5.0,18397650.0
80,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Dilip Kumar Bora'],1.0,-1.0,9999500.0
81,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['KARMAJYOTI DEURI'],1.0,-1.0,9260000.0
82,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Kamal Kumar Modi'],2.0,0.5,29576108.04
83,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['M/S P.D. ENTERPRISE'],4.0,0.25,79711492.06
84,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['MS Embee Associates'],1.0,-1.0,19996331.81
85,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['PRASANTA NARAH'],1.0,-1.0,9724355.7
86,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['S S ENTERPRISE'],1.0,-1.0,19996783.0
87,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,['Sachin Basumatary'],1.0,-1.0,9998210.02
88,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,['ABHISHEK MARKETING'],1.0,5.0,4818261.0
89,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,['Adarsh Enterprises'],1.0,-1.0,5955179.0
90,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,['DAL THOMS SCIENTIFIC'],1.0,-1.0,19656000.0
91,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,['Deben Das'],1.0,-1.0,21721.0
92,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,['JOBEAST.IN'],1.0,-1.0,225120.4
93,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,['LAKHIMI CATERER'],1.0,-1.0,771500.0
94,2021-2022,Animal Husbandry and Veterinary Department,AOC,Goods,['Agam Pharmaceuticals'],1.0,-1.0,11027100.0
95,2021-2022,Animal Husbandry and Veterinary Department,AOC,Goods,['Core Group'],1.0,-1.0,1527790.45
96,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,['Consulting Engineer NG'],1.0,-1.0,5034651.0
97,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,['DIGANTA BORAH'],1.0,-1.0,1820500.01
98,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,['DONY GOHAIN'],1.0,4.0,2222468.34
99,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,['SRI SWADIP GOHAIN'],1.0,-1.0,5132000.0
100,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,['Trailokya Dev Sharma'],1.0,-1.0,2173883.55
101,2021-2022,Assam Agricultural University,AOC,Works,['APCON GROUP'],2.0,3.5,17132518.0
102,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,['Consulting Engineer NG'],2.0,1.0,1329665.0
103,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,['YASH Technologies Private Limited'],2.0,-1.0,584043813.74
104,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,['HaskoningDHV Consulting Private Limited'],2.0,4.0,66405376.8
105,2021-2022,Assam Inland Water Transport Development Society,AOC,Works,['Das Consultancy And Agency Services'],1.0,2.0,28939653.98
106,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,['KMV Projects Limited'],2.0,-1.0,2807844879.21
107,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,['M/S Badri Rai & Company'],1.0,-1.0,1367935943.0
108,2021-2022,Assam Power Distribution Company Ltd,AOC,Goods,['CG Power and Industrial Solutions Limited'],1.0,-1.0,5365696.0
109,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,['Cloudstrats Technologies Pvt. Ltd'],1.0,-1.0,16788527.88
110,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,['GarudaUAV Soft Solutions Pvt Ltd'],1.0,-1.0,3510500.0
111,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['ANVIL CABLES PRIVATE LIMITED'],1.0,0.0,568712601.76
112,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Aries Corporate Services Pvt Ltd'],1.0,-1.0,84687533.0
113,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['BARAK POLE AND BRICKS INDUSTRY'],1.0,-1.0,92729544.0
114,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['BRAHMAPUTRA RIVER VALLEY TRADING PVT. LTD.'],11.0,0.2727272727272727,958792755.0
115,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Bhanwariya Infra Projects Pvt Ltd'],4.0,-1.0,339750449.0
116,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['East India Udyof Ltd.'],2.0,1.5,196622000.0
117,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Ennaar Poles'],6.0,2.0,536936163.0
118,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Espan Infrastructure I Limited'],1.0,-1.0,74151548.0
119,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Genus Power Infrastructures Ltd.'],1.0,-1.0,270893604.16
120,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Jayanta Khaund'],11.0,-0.18181818181818182,989099461.0
121,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['LASER POWER AND INFRA PRIVATE LIMITED'],3.0,-1.0,179292714.0
122,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['M/S Assam Electric Store'],1.0,-1.0,99151434.0
123,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['M/S R.S. ENTERPRISE'],1.0,-1.0,3331622.27
124,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['M/s NS Electrical Construction'],2.0,-1.0,122585222.0
125,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Ms HEMEN DEKA'],1.0,-1.0,84142846.0
126,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['NK POWER AND INFRASTRUCTURE PRIVATE LIMITED'],5.0,-1.0,428201090.0
127,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['OK Enterprise'],1.0,-1.0,107827301.0
128,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Singhi InfraPower Projects Pvt Ltd'],2.0,-1.0,176335569.0
129,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['UMANG ELECTRICAL'],1.0,-1.0,26026304.2
130,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Win Power Infra Pvt Ltd'],3.0,-1.0,291285006.0
131,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['Win Power Infra Pvt. Ltd.'],9.0,-1.0,844541044.0
132,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,['agarwal traders'],12.0,1.1666666666666667,916823483.0
133,2021-2022,Assam Power Generation Company Limited,AOC,Services,['DELOITTE TOUCHE TOHMATSU INDIA LLP'],1.0,4.0,0.0
134,2021-2022,Assam Power Generation Company Limited,AOC,Services,['Hoerbiger India pvt. ltd.'],1.0,-1.0,3304000.0
135,2021-2022,Assam Power Generation Company Limited,AOC,Services,['SIXD ENGINEERING SOLUTIONS PRIVATE LIMITED'],1.0,-1.0,0.0
136,2021-2022,Assam Power Generation Company Limited,AOC,Works,['VIKRAM SOLAR LIMITED'],1.0,4.0,0.0
137,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,['BMG Informatics Pvt Ltd'],1.0,-1.0,101966181.0
138,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,['BAJAJ ELECTRICALS LIMITED'],1.0,-1.0,607180932.23
139,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,['BVG India Limited'],1.0,-1.0,295535139.44
140,2021-2022,Assam State Disaster Management Authority,AOC,Services,['AIMIL LTD'],1.0,3.0,3031523.0
141,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,['Maa Kamakhya art'],1.0,-1.0,10497052.8
142,2021-2022,Bodoland Territorial Council,AOC,Goods,['MAHADEV BRAHMA'],1.0,4.0,1019870.0
143,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,['Bakul Chandra Brahma'],1.0,2.0,6145870.0
144,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,['Probin Dihingia'],1.0,-1.0,14728396.0
145,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['M/S. M.P. AGARWALLA'],1.0,-1.0,49499912.0
146,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['RAJU CHANDRA BASUMATARY'],1.0,-1.0,134139296.0
147,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['RWIRUP MUSHAHARY'],1.0,-1.0,40300771.0
148,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['SANJOY OWARY'],1.0,-1.0,22282667.0
149,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['TRINATH BASUMATARY'],1.0,-1.0,74678342.0
150,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,['chakrasing Muchahary'],4.0,0.0,132116666.0
151,2021-2022,Cooperation Department,AOC,Goods,['Assam Livestock Development Agency (ALDA)'],1.0,5.0,888000.0
152,2021-2022,Cooperation Department,AOC,Goods,['Brahmaputra Automobiles Pvt. Ltd'],1.0,-1.0,1141800.0
153,2021-2022,Cooperation Department,AOC,Goods,['Core Group'],1.0,-1.0,0.0
154,2021-2022,Cooperation Department,AOC,Goods,['INTERRA COGNITA ID SOLUTIONS'],1.0,-1.0,1302720.0
155,2021-2022,Cooperation Department,AOC,Goods,['MEGHALAYA OXYGEN PVT LIMITED'],1.0,-1.0,2225739.6
156,2021-2022,Cooperation Department,AOC,Services,['Arya Collateral Warehousing Services Pvt. Ltd.'],1.0,-1.0,3865090.0
157,2021-2022,Department of Cultural Affairs,AOC,Works,['M P SITANI AND SONS'],1.0,-1.0,33115599.41
158,2021-2022,Department of Cultural Affairs,AOC,Works,['SUNDAR NATH MISHRA'],1.0,-1.0,6549470.0
159,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Amina Pandit'],1.0,4.0,15391501.0
160,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Debadib Das'],1.0,-1.0,9069604.0
161,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Kishore Kumar Dutta'],1.0,-1.0,19475000.0
162,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['M/S. M.P. AGARWALLA'],2.0,-1.0,174422623.0
163,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['M/s S.K. Associates'],1.0,-1.0,15895000.0
164,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['M/s. Alakesh Traders'],2.0,-1.0,19524966.0
165,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['PADMAVATI CONSTRUCTION'],1.0,-1.0,18335033.0
166,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Rantu Boruah'],1.0,-1.0,124835980.0
167,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['SWAPAN KUMAR SAHA'],1.0,-1.0,4676632.0
168,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Sri Atul Gogoi'],1.0,-1.0,19356980.0
169,2021-2022,Department of Housing and Urban Affairs,AOC,Works,['Sri Sagar Gohain'],2.0,-1.0,125532920.0
170,2021-2022,Department of Science and Technology,AOC,Services,['EASTERN POWER ENGINEERING'],1.0,-1.0,538080.0
171,2021-2022,Department of Science and Technology,AOC,Services,['MILAN KAKATI'],1.0,-1.0,145371.28
172,2021-2022,Department of Tourism,AOC,Services,['Jayanta Chakravarty'],1.0,-1.0,70000.0
173,2021-2022,Department of Tourism,AOC,Services,['MS JOYGURU ENTERPRISE'],1.0,-1.0,50500.0
174,2021-2022,Department of Water Resources,AOC,Works,['ADITYA DOWARAH'],1.0,-1.0,13499820.0
175,2021-2022,Department of Water Resources,AOC,Works,['AJOY KR. BARMAN'],1.0,3.0,7269982.0
176,2021-2022,Department of Water Resources,AOC,Works,['ANJALI CONSTRUCTION'],1.0,1.0,3149683.0
177,2021-2022,Department of Water Resources,AOC,Works,['ANUPAM NIRMAN PVT. LTD.'],1.0,2.0,37800091.0
178,2021-2022,Department of Water Resources,AOC,Works,['Akhil Kumar Jain'],1.0,-1.0,44501118.0
179,2021-2022,Department of Water Resources,AOC,Works,['Ashit Roy'],1.0,-1.0,25199800.0
180,2021-2022,Department of Water Resources,AOC,Works,['Ashok Kumar Jain'],1.0,-1.0,35999757.0
181,2021-2022,Department of Water Resources,AOC,Works,['Bhaba Kanta Nath'],1.0,5.0,40123099.0
182,2021-2022,Department of Water Resources,AOC,Works,['CHIRANJIT CHOUDHURY'],1.0,2.0,3644695.0
183,2021-2022,Department of Water Resources,AOC,Works,['DURGA PRASAD UPADHYA'],2.0,3.0,46317443.0
184,2021-2022,Department of Water Resources,AOC,Works,['Deepjyoti Das'],1.0,-1.0,3093706.0
185,2021-2022,Department of Water Resources,AOC,Works,['GLOBAL ENTERPRISE'],1.0,2.0,21402151.0
186,2021-2022,Department of Water Resources,AOC,Works,['JAMIR KHAN'],1.0,-1.0,17500653.0
187,2021-2022,Department of Water Resources,AOC,Works,['Krishna Kanta Das'],1.0,-1.0,22876058.0
188,2021-2022,Department of Water Resources,AOC,Works,['M/S ATLAS CONSTRUCTION'],1.0,1.0,35999912.0
189,2021-2022,Department of Water Resources,AOC,Works,['M/S Kusumbar Construction'],1.0,-1.0,19799983.0
190,2021-2022,Department of Water Resources,AOC,Works,['M/S SUNRISE ENTERPRISE'],1.0,-1.0,8999976.0
191,2021-2022,Department of Water Resources,AOC,Works,['M/S. M.P. AGARWALLA'],1.0,-1.0,134973759.26
192,2021-2022,Department of Water Resources,AOC,Works,['M/S. S. S. ENGINEERS'],1.0,-1.0,20699989.0
193,2021-2022,Department of Water Resources,AOC,Works,['M/s Kunal Das'],1.0,1.0,6737865.0
194,2021-2022,Department of Water Resources,AOC,Works,['MOINUL HOQUE'],1.0,3.0,44999663.0
195,2021-2022,Department of Water Resources,AOC,Works,['MS PG Construction'],1.0,-1.0,89999836.0
196,2021-2022,Department of Water Resources,AOC,Works,['NIRANJAN SAHA'],1.0,-1.0,13499957.42
197,2021-2022,Department of Water Resources,AOC,Works,['Navish Tulshyan'],1.0,4.0,22925566.0
198,2021-2022,Department of Water Resources,AOC,Works,['Pintu Deb'],1.0,-1.0,19221176.0
199,2021-2022,Department of Water Resources,AOC,Works,['R F CONSTRUCTION and CONSULTANCY'],1.0,-1.0,17999965.0
200,2021-2022,Department of Water Resources,AOC,Works,['RAM SAGAR PRASAD'],1.0,-1.0,44999683.0
201,2021-2022,Department of Water Resources,AOC,Works,['RATNA BIKASH DEKA'],1.0,-1.0,8999409.0
202,2021-2022,Department of Water Resources,AOC,Works,['ROYAL TRADING'],1.0,-1.0,26992020.0
203,2021-2022,Department of Water Resources,AOC,Works,['Rabindra Chhawchharia'],1.0,-1.0,20154153.1
204,2021-2022,Department of Water Resources,AOC,Works,['Sri Uday Baishya'],1.0,-1.0,17999997.0
205,2021-2022,Department of Water Resources,AOC,Works,['UCN CONSTRUCTION COMPANY PRIVATE LIMITED'],1.0,-1.0,40499644.0
206,2021-2022,Department of Water Resources,AOC,Works,['Ujjal Baruah'],1.0,4.0,67499654.39
207,2021-2022,Dibrugarh University,AOC,Goods,['CREATIVE DESIGN AND PRODUCTS'],1.0,-1.0,12930800.0
208,2021-2022,Dibrugarh University,AOC,Goods,['IBERRY SOLUTIONS PRIVATE LIMITED'],1.0,-1.0,435000.0
209,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,['SAGA PESTICIDE PRIVATE LIMITED'],1.0,-1.0,2934473.0
210,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,['BKC AGGREGATORS PVT LTD'],1.0,-1.0,13101600.0
211,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['A K SEAL'],1.0,6.0,4418866.08
212,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['AKD CONSTRUCTION & SUPPLIER'],2.0,2.5,7235796.5
213,2021-2022,Finance Department - World Bank Tenders,AOC,Goods,['Reliance Jio Infocomm Limited'],1.0,-1.0,20083600.0
214,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,['Bhaba Kanta Nath'],2.0,-1.0,8196433.0
215,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,['Buildrite Constructions'],1.0,3.0,96974730.0
216,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,['M/S B.M.ENTERPRISE'],1.0,1.0,4528083.05
217,2021-2022,Health and Family Welfare Department,AOC,Goods,['Biosis Medical Services'],2.0,-1.0,5010660.0
218,2021-2022,Health and Family Welfare Department,AOC,Goods,['Jyoti Pharmaceuticals'],1.0,-1.0,1557600.0
219,2021-2022,Health and Family Welfare Department,AOC,Goods,['P. B. DRUGS SURGICALS'],1.0,-1.0,0.0
220,2021-2022,Health and Family Welfare Department,AOC,Goods,['PREMIER CRYOGENICS LTD.'],1.0,-1.0,160.72
221,2021-2022,Health and Family Welfare Department,AOC,Goods,['Square Enterprises'],1.0,-1.0,52456932.0
222,2021-2022,Health and Family Welfare Department,AOC,Goods,['Vijaya Chemical Company'],1.0,-1.0,0.0
223,2021-2022,Health and Family Welfare Department,AOC,Services,['ANUPAM KAKATI'],1.0,7.0,2.49
224,2021-2022,Home B,AOC,Goods,['ABHINASH KUMAR MAHATO'],4.0,-1.0,2243708.0
225,2021-2022,Home B,AOC,Goods,['ALO RANI PAUL'],5.0,-1.0,10482074.0
226,2021-2022,Home B,AOC,Goods,['ASHOK SHAH'],7.0,-1.0,14410075.0
227,2021-2022,Home B,AOC,Goods,['Anjali Das'],2.0,-1.0,4076520.0
228,2021-2022,Home B,AOC,Goods,['BISWAJIT MANDAL'],2.0,-1.0,779375.0
229,2021-2022,Home B,AOC,Goods,['Binandi Neog'],2.0,-1.0,870775.0
230,2021-2022,Home B,AOC,Goods,['Bipraraj Das'],1.0,-1.0,482988.0
231,2021-2022,Home B,AOC,Goods,['D.G. ENTERPRISE'],2.0,-1.0,4348550.0
232,2021-2022,Home B,AOC,Goods,['DIMBESWAR BORAH'],1.0,-1.0,1222000.0
233,2021-2022,Home B,AOC,Goods,['JHUMA KUNDU'],1.0,-1.0,3501370.0
